,latlon,source
"RULETON, KS","39.3394436,-101.889344",ap
"RUMFORD, ME","44.554271,-70.551453",ap
"Rumford, ME","44.554271,-70.551453",ap
"RUSH CITY, MN","45.6855145,-92.9654903",ap
"Rush Tower, MO",",",
"RUSHVILLE, IN","39.608756,-85.4469755",ap
"Russell, WV","39.4528628,-80.1427774",ap
"RUSSELLVILLE, AR","35.2784173,-93.1337856",ap
"RYAN, AL","33.1678948,-86.866656",ap
"RYE JCT, WA",",",
"SABINAS, CU","27.8524011,-101.1183777",ap
"SAGOLA, MI","46.0902267,-88.0776337",ap
"SAGUENAY POWER, PQ",",",
"Saint John, MB","45.1098904,-66.6024505",mg
"SAINT JOHN, NB","45.278752,-66.058044",ap
"SALAMANCA, NY","42.1578412,-78.7150311",ap
"SALEM, AL","32.5968028,-85.2385527",ap
"SALEM, IL","44.9391565,-123.033121",ap
"SALEM, OR","44.9391565,-123.033121",ap
"SALINA, KS","38.8402805,-97.6114237",ap
"SALINA, TX","38.8402805,-97.6114237",ap
"SALISBURY (DCR), MD","38.3776234,-75.7304979",mg
"SALT LAKE CITY, UT","40.7670126,-111.8904308",ap
"Salt Lake,  UT","40.6632297,-111.9103124",ap
"SALTILLO, CU","25.4306326,-101.1233233",mg
"SAN ANGELO, TX","31.4648357,-100.4398442",ap
"SAN ANTONIO , TX","29.4246002,-98.4951405",ap
"SAN ANTONIO, TX","29.4246002,-98.4951405",ap
"SAN DIEGO, CA","32.7174209,-117.1627714",ap
"SAN FRANCISCO, CA","45.4149778,-72.749396",ap
"SAN JUAN DEL RIO, QA","30.2921667,-109.3505",ap
"SAN LUIS POTOSI, SL","22.1131157,-101.2370011",mg
"SAN NICOLAS, NL","25.7360248,-100.3403234",mg
"SAND SPRINGS, OK","36.1394339,-96.1100025",ap
"SANTA CATARINA, NL","25.70002,-100.5160478",ap
"SANTA FE SPRING, CA","34.5798281,-112.4844518",ap
"SANTA FE, VL",",",
"SANTA MARIA, CA","34.9531295,-120.4358577",ap
"SARALAND, AL","30.820742,-88.0705556",ap
"SARNIA, ON","42.992595,-82.380981",ap
"Sarnia, ON","42.992595,-82.380981",ap
"Saskatoon Inter Term, SK","52.1397424,-106.9276274",mg
"SASKATOON TFR, SK","52.1397424,-106.9276274",mg
"SASKATOON, SK","52.131802,-106.660767",ap
"SAULT STE MARIE , ON","46.52391,-84.320068",ap
"SAULT STE MARIE, ON","46.52391,-84.320068",ap
"SAVAGE, MN","44.7779041,-93.3356204",ap
"SAVANNAH, GA","32.0809263,-81.0911768",ap
"Savannah, GA","32.0809263,-81.0911768",ap
"Sayabec, PQ","48.5610053,-67.7101772",mg
"Sayre, OK","35.291162,-99.6400969",ap
"SCANDIA, KS","39.794452,-97.783654",ap
"SCHATULGA, GA","32.5140295,-84.8704861",ap
"SCHOOLCRAFT, MI","46.1902943,-86.1833841",ap
"SCHUYLER, NE","41.4473547,-97.0572541",ap
"SCOTFORD, AB","53.7621438,-113.0826729",ap
"Scotford, AB","53.7621438,-113.0826729",ap
"Scott City, MO","37.2167175,-89.5245336",ap
"SCOTTSVILLE, KS","39.5436162,-97.9530997",ap
"SEABROOK, TX","29.5633199,-95.019723",ap
"SEADRIFT, TX","28.4152807,-96.7135933",ap
"Seagraves, TX","32.94182575,-102.5625424",ap
"SEALY, TX","29.7789913,-96.1568381",ap
"SEATTLE, WA","47.6038321,-122.3300624",ap
"Sebastian,  AR","35.1908795,-94.798813",mg
"Sedgwick,  KS","37.6448148,-97.4641388",ap
"SEGHERS, OR","45.4617674,-123.139776",ap
"SEIBERT, CO","39.2991591,-102.8690977",ap
"SELDEN, KS","39.540837,-100.567644",ap
"SELMA, AL","32.4078632,-87.0207473",ap
"SELMA, NC","35.5365485,-78.2844435",ap
"SENECA, KS","39.834165,-96.064168",ap
"SENECA, NY","42.7831619,-76.8386051",ap
"SENNETERRE, PQ","48.2383155,-78.679763",mg
"Senneterre, PQ","48.2383155,-78.679763",mg
"Sentinel, OK","35.1578315,-99.1753573",ap
"Sequoyah, OK","35.5035863,-94.7360577",ap
"SERGEANT BLUFF, IA","42.4038823,-96.3586397",ap
"Shamokin, PA","40.7887609,-76.5585175",ap
"SHATTUCK, OK","36.2758728,-99.8812321",ap
"SHAVER, AB","55.0740248,-118.6541967",ap
"Shaver, AB","55.0740248,-118.6541967",ap
"SHAVER, IA","42.0034772,-91.6752407",ap
"SHAWANO, WI","44.7817214,-88.7118868",ap
"SHAWINIGAN, PQ","46.689251,-73.4432309",mg
"Shawinigan, PQ","46.689251,-73.4432309",mg
"SHAWNEE, OK","35.3272928,-96.9253004",ap
"SHEBOYGAN FALLS, WI","43.7291617,-87.8106439",ap
"SHEBOYGAN, WI","43.7508284,-87.71453",ap
"SHEFFIELD, PA","34.756183,-87.69964617",ap
"SHELBY, OH","40.3491604,-84.1593008",ap
"SHELBYVILLE, IL","38.2120144,-85.2235666",ap
"SHELTON, WA","47.2150945,-123.1007066",ap
"Shelton, WA","47.2150945,-123.1007066",ap
"SHEPHERD, MI","35.038963,-85.1918987",ap
"Sherm Sindg, GA",",",
"SHIPPENSBURG, PA","40.0562262,-77.5139074",ap
"SHIPPINGPORT, PA","40.6320101,-80.4139539",ap
"SHREVEPORT, LA","32.5221828,-93.7651944",ap
"SIDNEY, OH","40.2842164,-84.1554987",ap
"SINKING SPRING, PA","40.3246704,-76.0171505",ap
"Skagit,  WA","48.4596092,-121.7332784",ap
"SLINGER, WI","43.3333862,-88.2857631",ap
"SMACKOVER, AR","33.3648455,-92.7248822",ap
"SMITH CENTER, KS","39.779179,-98.785075",ap
"SMITHERS, BC","54.7792074,-127.1760991",ap
"Smithers, BC","54.7792074,-127.1760991",ap
"SMITHS FALLS, ON","44.901362,-76.019554",ap
"Snohomish,  WA","47.9273634,-122.110984",mg
"SOCORRO, NM","34.0572858,-106.8930799",ap
"SOLOMON, KS","38.9194442,-97.371137",ap
"SOLVAY, NY","43.0581222,-76.2074263",ap
"Solvay, WY","43.0581222,-76.2074263",ap
"South Bend, IN","41.6833813,-86.2500066",ap
"SOUTH CHARLESTON, OH","39.8253378,-83.6343673",ap
"SOUTH CHICAGO, IL","41.7391338,-87.5490118",ap
"SOUTH NEWTON, NC","35.6609621,-81.3119622",mg
"SOUTH TEXARKANA, TX","33.4023477,-94.0429654",ap
"SOUTHPORT, IN","39.659058,-86.11569736",ap
"Sparta, WI","43.9441328,-90.8129118",ap
"SPARTANBURG, SC","34.9498007,-81.9320157",ap
"Spartanburg, SC","34.9498007,-81.9320157",ap
"SPEER, WY","41.0544276,-104.895525",ap
"Speer, WY","41.0544276,-104.895525",ap
"SPRING GREEN, WI","43.1769367,-90.0680478",ap
"SPRING GROVE, IL","39.8745437,-76.8658078",ap
"SPRING GROVE, PA","39.8745437,-76.8658078",ap
"SPRING, TX","31.8160381,-99.5120986",ap
"SPRINGDALE, AR","36.1867442,-94.1288142",ap
"SPRINGFIELD, MA","42.1014831,-72.589811",ap
"SPRINGFIELD, MO","37.2166779,-93.2920373",ap
"Squamish, BC","49.6980743,-123.1558612",ap
"ST CATHARINES, ON","43.167376,-79.241638",ap
"ST FRANCIS, TX","35.2617178,-101.6229553",ap
"ST HYACINTHE, PQ","45.637236,-73.2170875",mg
"St Hyacinthe, PQ","45.637236,-73.2170875",mg
"ST JOSEPH, MO","39.7686055,-94.8466322",ap
"ST LEONARD, NB","47.1651978,-67.9244707",ap
"ST LOUIS, MO","38.6268039,-90.1994097",ap
"ST LOUIS, OR","45.1226192,-122.942319",ap
"ST MARYS, PA","41.4280432,-78.5611275",ap
"ST PAUL , MN","44.9504037,-93.1015026",ap
"ST PAUL, MN","44.9504037,-93.1015026",ap
"St Paul, MN","44.9504037,-93.1015026",ap
"ST PRIME, PQ","48.5903477,-72.5554083",mg
"St Prime, PQ","48.5903477,-72.5554083",mg
"ST ROSE, LA","42.6240221,-90.4351395",ap
"ST THOMAS, ON","42.7750851,-81.1809205",ap
"St. Gabriel, LA","46.31316395,-73.38079209",ap
"St. Joseph, MO","39.7686055,-94.8466322",ap
"St. Louis,  MN","47.6201005,-92.4363343",ap
"St. Louis, MO","38.6268039,-90.1994097",ap
"St. Louis, OR","45.1226192,-122.942319",ap
"St. Paul, MN","44.9504037,-93.1015026",ap
"St. Stephen, NB","45.2004005,-67.2798634",ap
"STAFFORD, KS","38.0350094,-98.718816",ap
"STANDISH, MI","44.9306662,-93.237309",ap
"STANDLEY, OH","41.2674246,-84.2268617",ap
"STANFIELD, NC","35.2334772,-80.4270094",ap
"STANLEY, ND","48.317241,-102.390452",ap
"STAR, NC","35.4020838,-79.7842049",ap
"STARKEY, VA","37.200693,-79.9986485",ap
"STATESBORO, GA","32.4490141,-81.7832912",ap
"STATESVILLE, NC","35.7826363,-80.8872959",ap
"STE AGATHE, MB","49.5668153,-97.182039",ap
"Ste Anne, MB","49.671608,-96.6539319",ap
"Steele,  MN","44.0137336,-93.2203671",ap
"STEELTON, PA","40.2353679,-76.8413613",ap
"STERLING, IL","41.788642,-89.6962194",ap
"STEUBENVILLE, OH","40.3697905,-80.6339638",ap
"STEVENS, KY","37.879248,-83.8735308",ap
"STEVENSON, AL","34.8686934,-85.83942",ap
"STOCKERTOWN, PA","40.754456,-75.2615618",ap
"STOCKTON, CA","49.583333,-99.45",ap
"Stockton, CA","49.583333,-99.45",ap
"STONE, SC",",",
"Story,  IA","42.0161612,-93.489194",ap
"STOUGHTON, SK","49.6794164,-103.0261084",ap
"STOUGHTON, WI","42.9167389,-89.2178997",ap
"STRANG, TX","29.6845807,-95.041244",mg
"STRASBURG, PA","39.9831559,-76.1841226",ap
"STRATTON, CO","38.7477661,-105.1499801",ap
"STREATOR, IL","41.1210446,-88.835256",ap
"STREETSBORO, OH","41.239223,-81.345941",ap
"Stucco, WY","44.824,-108.432",ap
"SUDBURY, ON","46.49272,-80.991211",ap
"Sudbury, ON","46.49272,-80.991211",ap
"SUMAS, WA","48.9950874,-122.2690806",ap
"SUMMERFIELD, TX","32.7201356,-95.0260515",ap
"SUN PRAIRIE, WI","43.1834579,-89.2134359",ap
"SUNNYSIDE , WA","46.3246419,-120.0081898",ap
"SUNNYSIDE, WA","46.3246419,-120.0081898",ap
"SUNRAY, TX","36.0167027,-101.824616",ap
"SUPERIOR, WI","46.7207737,-92.1040796",ap
"SUSCON, PA","41.302303,-75.7224139",ap
"SUTTON, FL","30.5289042,-83.9213222",ap
"SUTTON, NE","40.6065876,-97.8593988",ap
"Swan River, MB","51.9667188,-101.5617688",ap
"SYLVITE, SK","42.9172741,-81.2095247",ap
"Tacheeda, BC","54.6776758,-122.5996477",ap
"TACOMA, WA","47.2495798,-122.4398746",ap
"TAFT, LA","35.1424671,-119.4565078",ap
"Taft, TX","27.9789739,-97.3979765",ap
"TAGUS, CA","48.3464048,-101.9340523",ap
"Talladega, AL","33.4359416,-86.1058048",ap
"TAMPA, FL","27.9477595,-82.458444",ap
"Tara, IA","42.5002487,-94.2957997",ap
"TATE COVE, LA","30.7440855,-92.2470701",ap
"TAYLOR , WI","45.2057106,-90.4915874",ap
"Taylor, WI","45.2057106,-90.4915874",ap
"TAYLORSVILLE, MS","32.2259814,-90.2387006",ap
"TAYLORVILLE, IL","39.548935,-89.294533",ap
"Tehama,  CA","40.1251334,-122.2015529",ap
"TENAHA, TX","31.9437799,-94.2440865",ap
"TERRE HAUTE, IN","39.4667025,-87.4139119",ap
"Terre Haute, IN","39.4667025,-87.4139119",ap
"Terre Haute, IN-I/L Switch","39.4652344,-87.513414",mg
"TEUTOPOLIS, IL","39.1330967,-88.4719918",ap
"TEXAS CITY, TX","29.383845,-94.9027002",ap
"THOMASTON, IN","41.3783745,-86.8141878",ap
"THOMASVILLE, NC","35.8831786,-80.081817",ap
"THOMPSON RIVER , MT","47.7572706,-115.0006741",ap
"Thompson River Lumber,MN",",",
"THREE BRIDGES, NJ","40.5198285,-74.7993323",ap
"THUNDER BAY, ON","48.406414,-89.259796",ap
"TIBBETS, BC","54.163013,-125.4754935",ap
"Tibbets, BC","54.163013,-125.4754935",ap
"Tillman, OK","34.3835721,-98.9354765",ap
"Tippecanoe,  IN","40.3916066,-86.8879689",ap
"TIPTON, IN","40.2899154,-86.058442",ap
"TLALNEPANTLA, EM","19.5464909,-99.1998606",
"TOLEDO, OH","41.6786754,-83.5127283",ap
"Toledo, OH","41.6786754,-83.5127283",ap
"TOLLESON, AZ","33.4500497,-112.2593093",ap
"Tomah, WI","43.978576,-90.5040214",ap
"TOPEKA, KS","39.049011,-95.677556",ap
"TOPO GRANDE, NL","25.7910709,-100.3211442",mg
"TORREON, CU","25.5229739,-103.442126",mg
"Torreon, CU","25.5229739,-103.442126",mg
"TOUGALOO, MS","32.3976436,-90.1589761",ap
"TOWNSEND, MT","46.319098,-111.520802",ap
"TQW JCT, IL",",",
"TRANSCONA, MB","49.8953127,-97.0108481",ap
"TRAVER, CA","36.4552287,-119.4848471",ap
"TRENTON, KY","36.7232466,-87.2623516",ap
"TRENTON, MI","40.2170575,-74.7429463",ap
"Trenton, MI","40.2170575,-74.7429463",ap
"TRENTON, ND","48.070578,-103.836871",ap
"TRENTON, OH","39.4808905,-84.4577222",ap
"TRINITY, MS","34.8092656,-90.1753722",ap
"TROIS RIVIERES, PQ","46.3728972,-72.8760104",mg
"Trois Rivieres, PQ","46.3728972,-72.8760104",mg
"TROY, IN","37.9953335,-86.7977672",ap
"TRURO, NS","45.366668,-63.300006",ap
"Truro, NS","45.366668,-63.300006",ap
"TUCSON, AZ","32.2218917,-110.9262353",ap
"TULSA, OK","36.1556805,-95.9929113",ap
"TUNIS, NC","36.3843211,-76.8880131",ap
"Tunnel City, WI","44.0071868,-90.5656887",ap
"TUPPER, NS","45.6070064,-61.3664338",mg
"TURLOCK, CA","37.4946568,-120.8465941",ap
"TUSCALOOSA, AL","33.2095614,-87.5675258",ap
"UMAN, YC",",",
"UNION CITY, GA","33.5870558,-84.5424299",ap
"Union City, GA","33.5870558,-84.5424299",ap
"UNION CITY, IN","40.201991,-84.8091287",ap
"Union,  AR","33.1979176,-93.0895712",mg
"UNIONCITY, PA","41.895368,-79.8816365",mg
"United Counties of Stormont, Dundas and Glengarry, ON","45.3057015,-74.63311934",ap
Unknown-I/L Switch,",",
"UPPER SANDUSKY, OH","40.8272785,-83.2813089",ap
"URBANA, OH","40.1083912,-83.7524298",ap
"URUAPAN, MH","19.4020513,-102.0592123",mg
"UTLEY, WI","43.7274832,-88.9062225",ap
"VAL DOR, PQ","47.9943042,-78.1381318",mg
"Val Dor, PQ","47.9943042,-78.1381318",mg
"Val Verde, CA","34.444501,-118.6543602",ap
"VALDOSTA, GA","30.8327022,-83.2784851",ap
"VALLEY PARK, MO","38.5493603,-90.4912719",ap
"Valley Park, MO","38.5493603,-90.4912719",ap
"Valley,  NE","41.5595723,-98.9805484",ap
"VALLEY, NE","41.5595723,-98.9805484",ap
"VANCE, AL","33.1742847,-87.2336092",ap
"VANCE, SC","33.4337744,-80.4228665",ap
"Vancouver Cent Pier, BC","49.2578749,-123.2639962",mg
"Vancouver Inter Term, BC","49.2578749,-123.2639962",mg
Vancouver Thorn Yard,"49.2578749,-123.2639962",mg
"VANCOUVER THORN, BC",",",
"Vancouver Vanterm, BC","49.2578749,-123.2639962",mg
"VANCOUVER, WA","45.6306954,-122.6744557",ap
"VANDERHOOF, BC","54.0175289,-124.0076627",ap
"Vanderhoof, BC","54.0175289,-124.0076627",ap
"VAUDREUIL, PQ","45.3973537,-74.2271534",mg
"VAVENBY, BC","51.5817746,-119.7279153",ap
"Vavenby, BC","51.5817746,-119.7279153",ap
"VELOX, WA","47.6957296,-117.1835398",ap
"VENICE, IL","38.6762061,-90.2057196",mg
"VERMILION BAY T, ON","49.856579,-93.392029",ap
"Vermillion Bay TFR, ON","49.8606248,-93.4076227",mg
"VIBORILLAS, QA","20.507222,-98.503889",ap
"VOLGA, SD","44.32358,-96.926448",ap
"VOLTA, CA","37.0974438,-120.92603",ap
"VOLTAIRE, ND","48.0205632,-100.8415372",ap
"VON WILLER (CCRL), OH",",",
"Wabuska, NV","39.1438073,-119.1832104",ap
"WACO, TX","31.549333,-97.1466695",ap
"WADSWORTH, TX","28.8327464,-95.9358396",ap
"Wadswoth, TX","28.8288632,-95.9667173",mg
"Wahpeton, ND","46.265879,-96.608863",ap
"WALDO, AR","33.351514,-93.2957251",ap
"WALDO, WI","43.6747179,-87.9487034",ap
"Walker, IL","40.2426366,-91.4570315",mg
"Wallula, WA","46.0854121,-118.9052776",ap
"WALNUT HILL, FL","30.8854631,-87.5099827",ap
"WALWORTH, WI","42.6711513,-88.5467715",ap
"Wapello,  IA","41.0137597,-92.4140217",ap
"WARD SPUR , TX","31.296792,-105.8477451",ap
"WARD SPUR, TX","31.296792,-105.8477451",ap
"WARECO, GA","31.0164356,-83.5384586",mg
"WARM SPRINGS, CA","37.4785004,-121.9515622",mg
"Warman, SK","52.320232,-106.575623",ap
"WARREN, PA","41.8119602,-79.2654452",ap
"WARRENTON, OH","40.1920156,-80.6800786",ap
"Warrick, IN","38.0906065,-87.2758933",ap
"WASECA, MN","44.0172242,-93.5885717",ap
"Washago, ON","44.7520736,-79.3331786",ap
"WASHINGTON COUR, OH","39.5364511,-83.4390843",ap
"WASHINGTON, IA","41.3160082,-91.7340327",ap
"Washita, OK","35.2917033,-98.9966972",ap
"WATERFORD, AL","33.2411368,-87.5399972",ap
"WATERLOO, IA","42.4979693,-92.3329637",ap
"WATERLOO, IN","41.431132,-85.02064115",ap
"WATERLOO, WI","43.1838844,-88.9884421",ap
"WATERTOWN, SD","44.899211,-97.115289",ap
"WATERVILLE, ME","44.5520105,-69.6317121",ap
"Watrous, SK","51.6749485,-105.4642839",ap
"WATSONTOWN, PA","41.0844729,-76.8630726",ap
"WATSONVILLE, CA","36.9092773,-121.7529071",ap
"WAUNAKEE, WI","43.1919373,-89.4556749",ap
"WAUPACA, WI","44.4927889,-88.9650419",ap
"WAUPUN, WI","43.633216,-88.7296352",ap
"WAVERLY, IA","42.7258142,-92.4754626",ap
"Weatherford, OK","35.5261633,-98.7075744",ap
"WEBBERVILLE, MI","42.6668257,-84.174432",ap
"Wedron, IL","41.4362959,-88.7735491",ap
"WEIRTON, WV","40.4189566,-80.5895167",ap
"Welcome, MN","43.6671139,-94.6187863",ap
"WELLSBORO, IN","41.497265,-86.7652996",ap
"WELLSBORO, PA","41.7486838,-77.3005305",ap
"Wendell, ID","42.7757368,-114.7042168",ap
"WESLACO, TX","26.1595156,-97.9908429",ap
"West Baton Rouge,  LA","30.4514623,-91.3261882",ap
"WEST CENTENNIAL PK, UT","40.7060136,-112.0293031",mg
"West Conshshohan, PA","40.071032,-75.3346873",mg
"WEST FARGO, ND","46.874967,-96.900362",ap
"WEST HAVEN, CT","41.2706527,-72.9470471",ap
"WEST HAZLETON RBMN, PA","40.9691436,-76.0475321",mg
"WEST HAZLETON, PA","40.9586956,-75.9960371",ap
"WEST LAKE CHARLES, LA","30.2265949,-93.2173759",ap
"West Lake Charles, LA","30.2265949,-93.2173759",ap
"WEST LAKE, LA","30.2606006,-93.3347064",mg
"WEST OCCIDENTAL, FL",",",
"WEST OROVILLE, CA","39.5137752,-121.556359",ap
"WEST POINT, VA","37.5315303,-76.7963566",ap
"WEST PORT ARTHUR, TX","29.8510485,-93.9771157",ap
"West Port Arthur, TX","29.8510485,-93.9771157",ap
"WEST SENECA, NY","42.83943505,-78.74650291",ap
"WESTBORO, MA","45.3919622,-75.7542905",ap
"WESTFIELD, MA","42.1250929,-72.7495381",ap
"Westhom, OK",",",
"WESTLAND, PA","40.2772924,-80.2731158",ap
"Westland, PA","40.2772924,-80.2731158",ap
"Westlock, AB","54.2700377,-113.8513211",ap
"WESTON, OH","41.34491,-83.7962732",ap
"WESTON, OR","45.813723,-118.424221",ap
"Weston, OR","45.813723,-118.424221",ap
"WESTVACO, WY","37.559924,-79.048762",ap
"Westvaco, WY","37.559924,-79.048762",ap
"WESTWEGO, LA","29.9060388,-90.1422962",ap
"WEVER, IA","40.7116287,-91.2322109",ap
"Weyerhaeuser, WI","45.4226495,-91.415286",ap
"WHEAT WAY, AL","36.101349,-83.392891",ap
"WHEELER, WA","47.1306981,-119.1719606",ap
"WHITBURY, MS",",",
"WHITE BEAR LAKE, MN","45.0838098,-93.0069304",ap
"WHITE LIME, WI",",",
"WHITE PIGEON, MI","41.7981056,-85.6433229",ap
"WHITE RIVER, ON","48.5015053,-85.0786824",ap
"WHITECOURT, AB","54.12738935,-115.6515975",ap
"WHITEWATER, WI","42.8336422,-88.7292679",ap
"WHITNEY, WA","48.4480719,-122.4710626",ap
"WICHITA FALLS, TX","33.9137085,-98.4933873",ap
"Wichita Falls, TX","33.9137085,-98.4933873",ap
"WICHITA, KS","37.6922361,-97.3375448",ap
"Wichita, KS","37.6922361,-97.3375448",ap
"WIGGINS, MS","30.858244,-89.1353283",ap
"Wilds, MN","47.7455274,-96.6361787",ap
"WILLARD, OH","41.0531134,-82.7262958",ap
"WILLIAMS LAKE, BC","52.129081,-122.1397346",ap
"Williams lake, BC","52.129081,-122.1397346",ap
"WILLIAMS, CA","43.73826155,-79.7030296",ap
"WILLIAMS, OK","35.1648191,-94.5485543",ap
"WILLIAMSBURG, VA","37.2708788,-76.7074042",ap
"Williamsport, PA","41.2493292,-77.0027671",ap
"WILMINGTON, DE","39.7459468,-75.546589",ap
"WILMINGTON, NC","34.2257282,-77.9447107",ap
"WILSONS MILLS, NC","35.5829914,-78.3554751",ap
"WINCHESTER, KY","37.990079,-84.1796503",ap
"WINCHESTER, VA","39.1852184,-78.1652404",ap
"WINDER, GA","33.9919085,-83.7184368",ap
"Winder, GA","33.9919085,-83.7184368",ap
"WINDSOR, CO","40.4774818,-104.9013617",ap
"WINDSOR, ON","42.30423,-83.029861",ap
"WINFIELD, PA","33.928993,-87.8172457",ap
"Winnipeg Syming Yard, MB","49.8658211,-97.0845044",mg
"WINNIPEG, MB","49.884017,-97.168579",ap
"WINONA, MN","44.0500054,-91.6392294",ap
"Winona, MN","44.0500054,-91.6392294",ap
"WINSTON-SALEM, NC","36.0998131,-80.2440518",ap
"WISCONSIN DAM, WI","43.039423,-88.142019",ap
"Wisconsin Dam, WI","43.039423,-88.142019",ap
"WISCONSIN RAPID, WI","44.045552,-103.2185458",ap
"WITT, TN","36.1500934,-83.2829452",ap
"WMOSGROVE, PA",",",
"Wood,  OH","41.2776661,-83.6643025",ap
"Wood,  WI","44.4517617,-90.0199618",ap
"WOODBURN, OR","45.143731,-122.8553725",ap
"Woodbury,  IA","42.3775361,-96.0607187",ap
"WOODLAWN, AL","34.8375867,-87.603638",ap
"WOODSTOCK, ON","43.133061,-80.749855",ap
"WOOSTER, OH","40.7991766,-81.9383187",ap
"WYANDOTTE, MI","39.1090458,-94.767624",ap
"Wyeville, WI","44.0282977,-90.3845763",ap
"XALOSTOC, EM","19.5380864,-99.0964467",mg
"XICOTENCATL, TL",",",
"Yamhill,  OR","45.2298399,-123.2180414",ap
"YARBO, SK","50.6971952,-101.9338185",ap
"YAZOO CITY, MS","32.8551326,-90.4056469",ap
"Yazoo City, MS","32.8551326,-90.4056469",ap
"Yolo,  CA","38.7184542,-121.9059001",ap
"YORK, PA","39.962398,-76.727392",ap
"York, PA","39.962398,-76.727392",ap
"YORKVILLE, OH","40.1545159,-80.7103583",ap
"YULEE, FL","30.627848,-81.59022781",ap
"YUMA, AZ","32.665135,-114.4760316",ap
"ZELIENOPL, PA","40.789815,-80.1754761",mg
"ZENDA, WI","42.5119622,-88.4817651",ap
"ZWOLLE, LA","31.6362787,-93.6772372",mg
knoxville,"35.9581347,-84.2059594",test
chattanooga,"35.0982145,-85.3791198",test
